codigo_inep;nome;municipio;codigo_ibge;dependencia;localizacao;situacao;latitude;longitude;fonte;observacao
;EMEB Professor Ezequel Pompeu Ribeiro de Siqueira;;;;;em_atividade;-15.585790;-56.094689;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;'Escola Estadual Militar Dom Pedro II Presidente Médici;;;;;em_atividade;-15.589209;-56.095973;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB Padre Agostinho Colli;;;;;em_atividade;-15.604366;-56.109515;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB Adelina Pereira Ventura;;;;;em_atividade;-15.603873;-56.114325;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB Professora Alzira Valladares;;;;;em_atividade;-15.601687;-56.113522;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB São João Bosco;;;;;em_atividade;-15.612897;-56.126402;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB Professora Ana Teresa Arcos Krauze;;;;;em_atividade;-15.645191;-55.976423;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB Professor Onofre de Oliveira;;;;;em_atividade;-15.638799;-55.979743;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB Jesus Criança;;;;;em_atividade;-15.639949;-55.972265;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB Professora Rita Caldas Castrillon;;;;;em_atividade;-15.618296;-56.123566;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;EMEB Senador Darcy Ribeiro;;;;;em_atividade;-15.651075;-55.980578;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Creche Municipal Manoelino de Jesus;;;;;em_atividade;-15.638866;-55.979993;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Creche Municipal São Benedito;;;;;em_atividade;-15.633431;-55.984573;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Souza Bandeira;;;;;em_atividade;-15.621759;-56.065508;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;OSM school;;;;;em_atividade;-15.068113;-57.180798;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Creche Municipal;;;;;em_atividade;-15.064250;-57.176401;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;OSM school;;;;;em_atividade;-15.061227;-57.175063;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;OSM school;;;;;em_atividade;-15.074232;-57.182754;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Carmelita Couto;;;;;em_atividade;-15.589787;-56.097716;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Instituto de Linguagens;;;;;em_atividade;-15.614843;-56.071572;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Instituto de Educação;;;;;em_atividade;-15.615118;-56.071111;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;NDIHR;;;;;em_atividade;-15.613406;-56.069636;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Laboratório de Geografia;;;;;em_atividade;-15.613331;-56.068819;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Bloco Didático;;;;;em_atividade;-15.613086;-56.069196;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Faculdade de Administração e Ciências Contábeis;;;;;em_atividade;-15.614461;-56.070395;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
