id_snisb;nome;municipio;n_ok;n_atencao;n_nao;n_lacuna;n_lacunas_criticas;pae_01;pae_04_zas
35076;Barramento - Fazenda Belo Horizonte II;Barra do Garças;0;0;2;6;8;lacuna;lacuna
34585;Barramento - Fazenda Cristalino III;Alta Floresta;0;0;2;6;8;lacuna;lacuna
35075;Barramento - Fazenda Estância Gaúcha;Campo Novo do Parecis;0;0;2;6;8;lacuna;lacuna
34545;Barramento - Fazenda Fiorese I;Feliz Natal;0;0;2;6;8;lacuna;lacuna
35913;Barramento - Fazenda Galerinha;Vila Bela da Santíssima Trindade;0;0;2;6;8;lacuna;lacuna
35383;Barramento - Fazenda Gema;Santo Afonso;0;0;2;6;8;lacuna;lacuna
26335;Barramento - Fazenda Guapeva;Bom Jesus do Araguaia;0;0;2;6;8;lacuna;lacuna
7966;Barramento - Fazenda Horizonte VI;Campo Novo do Parecis;0;0;2;6;8;lacuna;lacuna
35070;Barramento - Fazenda Lagoa Azul;Tangará da Serra;0;0;2;6;8;lacuna;lacuna
34610;Barramento - Fazenda Luchese I;Primavera do Leste;0;0;2;6;8;lacuna;lacuna
35019;Barramento - Fazenda Paraná - São Bento;Brasnorte;0;0;2;6;8;lacuna;lacuna
30960;Barramento - Fazenda Progresso I e II;Primavera do Leste;0;0;2;6;8;lacuna;lacuna
35390;Barramento - Fazenda Rancho Alegre;Vila Bela da Santíssima Trindade;0;0;2;6;8;lacuna;lacuna
35132;Barramento - Fazenda Santa Maria - Gleba A;Campo Novo do Parecis;0;0;2;6;8;lacuna;lacuna
35461;Barramento - Fazenda Santo Antônio;Sorriso;0;0;2;6;8;lacuna;lacuna
35123;Barramento - Fazenda Seriema;Sorriso;0;0;2;6;8;lacuna;lacuna
35785;Barramento - Fazenda Sorriso I;União do Sul;0;0;2;6;8;lacuna;lacuna
36061;Barramento - Fazenda São Matheus I;Poxoréu;0;0;2;6;8;lacuna;lacuna
35005;Barramento - Fazenda Tropeiro Velho IV e V;Alta Floresta;0;0;2;6;8;lacuna;lacuna
35023;Barramento - Mineração Casa de Pedra;Cuiabá;0;0;2;6;8;lacuna;lacuna
34025;Barramento 01 (Montante) São Cristóvão;Sorriso;0;0;2;6;8;lacuna;lacuna
20070;Barramento 02 (Montante) - São Cristóvão;Sorriso;0;0;2;6;8;lacuna;lacuna
35272;Barramento 02 Fazenda Água Azul;Sorriso;0;0;2;6;8;lacuna;lacuna
35118;Barramento 05 - Fazenda Zeniiti III;Alta Floresta;0;0;2;6;8;lacuna;lacuna
30939;Barramento 09;Barra do Bugres;0;0;2;6;8;lacuna;lacuna
35410;Barramento 1 (montante);Santa Cruz do Xingu;0;0;2;6;8;lacuna;lacuna
35020;Barramento 1 (montante) - Fazenda Paraná - São Bento;Brasnorte;0;0;2;6;8;lacuna;lacuna
30962;Barramento 1 - Fazenda Guanabara – Gleba A;Nova Olímpia;0;0;2;6;8;lacuna;lacuna
34001;Barramento 1 - Fazenda Progresso Vista Alegre;Canarana;0;0;2;6;8;lacuna;lacuna
33960;Barramento 1 - Mangaba Urbanismo LTDA;Cuiabá;0;0;2;6;8;lacuna;lacuna
35071;Barramento 1 ? Lote n° 114-B, 114-C E 115;Cláudia;0;0;2;6;8;lacuna;lacuna
36578;Barramento 1 a montante ? Fazenda Celentano;Porto dos Gaúchos;0;0;2;6;8;lacuna;lacuna
35411;Barramento 1.1;Santa Cruz do Xingu;0;0;2;6;8;lacuna;lacuna
35110;Barramento 10 - Fazenda Zeniiti III;Alta Floresta;0;0;2;6;8;lacuna;lacuna
35113;Barramento 12 - fazenda Zeniiti III;Alta Floresta;0;0;2;6;8;lacuna;lacuna
34519;Barramento 15 - Fazenda Zeniiti III;Alta Floresta;0;0;2;6;8;lacuna;lacuna
34520;Barramento 16 - Montante;Alta Floresta;0;0;2;6;8;lacuna;lacuna
34521;Barramento 17 (montante) - Fazenda Zeniiti III;Alta Floresta;0;0;2;6;8;lacuna;lacuna
34522;Barramento 18 (montante) - Fazenda Zeniiti III;Alta Floresta;0;0;2;6;8;lacuna;lacuna
36517;Barramento 2 (Montante);Cuiabá;0;0;2;6;8;lacuna;lacuna
33355;Barramento 2 - Mangaba Urbanismo LTDA;Cuiabá;0;0;2;6;8;lacuna;lacuna
35179;Barramento 2 MONTANTE - Fazenda São Luiz;São Félix do Araguaia;0;0;2;6;8;lacuna;lacuna
34991;Barramento 2 Principal - Fazenda Cocal;Canarana;0;0;2;6;8;lacuna;lacuna
34707;Barramento 2 – Fazenda Santa Maria;Barra do Bugres;0;0;2;6;8;lacuna;lacuna
35630;Barramento 2A - Fazenda Santa Helena;Canarana;0;0;2;6;8;lacuna;lacuna
36516;Barramento 3;Cuiabá;0;0;2;6;8;lacuna;lacuna
34992;Barramento 3 Montante - Fazenda Cocal;Canarana;0;0;2;6;8;lacuna;lacuna
34706;Barramento 3 – Fazenda Santa Maria;Barra do Bugres;0;0;2;6;8;lacuna;lacuna
34024;Barramento 3-  São Cristóvão;Sorriso;0;0;2;6;8;lacuna;lacuna
35136;Barramento 4;Cuiabá;0;0;2;6;8;lacuna;lacuna
30902;Barramento 4 - Fazenda Guanabara – Gleba A;Denise;0;0;2;6;8;lacuna;lacuna
35182;Barramento 5;Cuiabá;0;0;2;6;8;lacuna;lacuna
35181;Barramento 6;Cuiabá;0;0;2;6;8;lacuna;lacuna
35180;Barramento 7;Cuiabá;0;0;2;6;8;lacuna;lacuna
30947;Barramento 8 - Fazenda Guanabara – Gleba A;Denise;0;0;2;6;8;lacuna;lacuna
35027;Barramento ? Fazenda Jardim;Cuiabá;0;0;2;6;8;lacuna;lacuna
31998;Barramento Aeroporto Municipal de Juína;Juína;0;0;2;6;8;lacuna;lacuna
8122;Barramento Atto Agropecuária LTDA;Alto Garças;0;0;2;6;8;lacuna;lacuna
37430;Barramento Caxambu II;Querência;0;0;2;6;8;lacuna;lacuna
32077;Barramento Fazenda Bonanza;Santa Cruz do Xingu;0;0;2;6;8;lacuna;lacuna
20051;Barramento Fazenda Carajas  - Lote 64;Lucas do Rio Verde;0;0;2;6;8;lacuna;lacuna
36511;Barramento Fazenda Cascata e Cascata II;Sorriso;0;0;2;6;8;lacuna;lacuna
243;Barramento Fazenda Maranata e Maranata II;Primavera do Leste;0;0;2;6;8;lacuna;lacuna
36671;Barramento Fazenda Ouro Branco;Barra do Bugres;0;0;2;6;8;lacuna;lacuna
36496;Barramento Fazenda Primavera;Vila Rica;0;0;2;6;8;lacuna;lacuna
31632;Barramento Fazenda Remanso II;Sinop;0;0;2;6;8;lacuna;lacuna
8050;Barramento Fazenda Rodeio;Sorriso;0;0;2;6;8;lacuna;lacuna
36436;Barramento Fazenda Santana;Água Boa;0;0;2;6;8;lacuna;lacuna
