codigo_cnes;nome_fantasia;nome_razao_social;codigo_municipio;municipio;no_eixo_montante;no_eixo_jusante;bairro_estabelecimento;endereco_estabelecimento;descricao_esfera_administrativa;descricao_nivel_hierarquia;descricao_turno_atendimento;codigo_tipo_unidade;tipo_gestao;atendimento_hospitalar;atendimento_ambulatorial;ambulatorial_sus;centro_cirurgico;centro_obstetrico;centro_neonatal;servico_apoio;latitude;longitude;numero_telefone_estabelecimento;data_atualizacao
2955733;SESI SST CUIABA;SESI SERVICO SOCIAL DA INDUSTRIA;510340;Cuiabá;Sim;Sim;CENTRO SUL;AV QUINZE DE NOVEMBRO;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.6089157;-56.1015317;65 36111591;2025-09-03
2956845;DROGARIA SAO PAULO;DROGARIA SAO PAULO S A;510340;Cuiabá;Sim;Sim;SANTA CRUZ;PROFESSORA EDNA MARIA DE ALBUQUERQUE AFFI;MUNICIPAL;;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;43;M;Não;Não;NAO;Não;Não;Não;Sim;-15.60852835;-56.024871059348236;11 32747400;2025-09-03
2957965;CLINICA MIDORI;CLINICA MIDORI LTDA;510340;Cuiabá;Sim;Sim;CENTRO SUL;JESSE PINTO FREIRE;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.5967679;-56.1013276;65 30526706;2025-09-03
2961547;FONO BEATRIZ PORTO;CLINICA DE FONOAUDIOLOGIA BEATRIZ PORTO LTDA;510340;Cuiabá;Sim;Sim;JARDIM CUIABA;DAS VIOLETAS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.595663043771415;-56.11493876234183;65 96799733;2025-09-03
2961563;TAFURI SERVICOS MEDICOS EM UROLOGIA LTDA;TAFURI SERVICOS MEDICOS EM UROLOGIA LTDA;510340;Cuiabá;Sim;Sim;JARDIM ITALIA;ERICO GONCALVES PREZA FILHO;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.606414135398976;-56.05923573759351;65 30287328;2025-09-03
2964953;DROGARIA SAO PAULO;DROGARIA SAO PAULO S A;510340;Cuiabá;Sim;Sim;BOSQUE DA SAUDE;ACLIMACAO;MUNICIPAL;;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;43;M;Não;Não;NAO;Não;Não;Não;Não;-15.585824746414504;-56.07898229999999;11 32747400;2025-09-03
2966883;DROGARIA SAO PAULO 2286 CUIABAII;DROGARIA SAO PAULO S A;510340;Cuiabá;Sim;Sim;JARDIM CUIABA;DAS FLORES;MUNICIPAL;;ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE;43;M;Não;Não;NAO;Não;Não;Não;Sim;-15.59465237700862;-56.116610079577654;11 32747400;2026-03-28
2967286;LAURA OLIVEIRA PRADO;LAURA OLIVEIRA PRADO EIRELI;510340;Cuiabá;Sim;Sim;BOSQUE DA SAUDE;BOSQUE DA SAUDE;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.5899448;-56.078490862706715;65 35492492;2025-09-03
2970198;INSTITUTO AQUARELA TERAPIAS INTEGRADAS;TATIANE COSTA DOS SANTOS;510340;Cuiabá;Sim;Sim;JARDIM DAS AMERICAS;NASSAU;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.604681583039431;-56.06783982825503;69 93791203;2025-11-04
2970406;CLINICA HABILITA MENTE SAUDE E BEM ESTAR;CLINICA HABILITA MENTE SAUDE E BEM ESTAR LTDA;510340;Cuiabá;Sim;Sim;DOM AQUINO;PADRE JERONIMO BOTELHO;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;36;M;Não;Não;NAO;Não;Não;Não;Não;-15.6119769;-56.0862619;65 96999695;2025-09-03
2972115;ESPACO SENSORIAL TERAPEUTICO OCUPACIONAL;JANETE RODRIGUES DA SILVA;510340;Cuiabá;Sim;Sim;POCAO;MIRANDA REIS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.6035389;-56.0911575;65 96121340;2025-09-03
2981416;CLISSLABOR SERVICOS E SEGURANCA DO TRABALHO;R AUGUSTO BRANDAO SERVICOS MEDICOS LTDA;510340;Cuiabá;Sim;Sim;BANDEIRANTES;GENERAL VALE;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.601757480440694;-56.09100294176754;65 92362836;2026-06-02
2986140;CLINICA ESSENCIAL KIDS;CLINICA ESSENCIAL KIDS LTDA;510340;Cuiabá;Sim;Sim;BOA ESPERANCA;VINTE E OITO;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.60733056609909;-56.055186402117705;65 98112880;2026-07-21
2986604;ESPACO TIMPANYKIDS;ESPACO TIMPANY CLIN EQUIPE MULTIDISCIPLINAR LTDA;510340;Cuiabá;Sim;Sim;PORTO;BARAO DE MELGACO;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.5920384;-56.1069363;65 96169747;2025-09-03
2990814;BALPAS;BALPAS SERVICOS MEDICOS LTDA;510340;Cuiabá;Sim;Sim;JARDIM CUIABA;DAS DALIAS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;36;M;Não;Não;NAO;Não;Não;Não;Não;-15.596404364033797;-56.11978195475633;65 30287328;2025-09-03
2994259;CDI CENTRO DESENVOLVIMENTO INFANTIL;CENTRO INFANTIL DE PSICOLOGIA LTDA;510340;Cuiabá;Sim;Sim;RESIDENCIAL COXIPO;1 RES S TEREZINHA 2A ETAPA;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-15.645209124935718;-56.038534767330404;65 99882921;2025-10-11
2997037;TAKANO DIAGNOSTICO E TRATAMENTO LTDA;TAKANO DIAGNOSTICO E TRATAMENTO LTDA;510340;Cuiabá;Sim;Sim;JARDIM CUIABA;DAS DALIAS;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;22;M;Não;Não;NAO;Não;Não;Não;Não;-16.2508998;-56.6197149;65 21270944;2025-09-03
3009289;USF 1 DE MARCO;PREFEITURA MUNICIPAL DE CUIABA;510340;Cuiabá;Sim;Sim;1 DE MARCO;AV PRINCIPAL;MUNICIPAL;;ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE;2;M;Não;Não;SIM;Não;Não;Não;Sim;-15.549264425678356;-56.03197597301245;(65) 3649-1541;2025-09-03
