id_snisb;nome;municipio;orgao_fiscalizador;empreendedor;curso_dagua;codigo_trecho_curso_dagua;relacao_com_cuiaba;categoria_risco;dano_potencial_associado;classe_cnrh;altura_m;capacidade_hm3;uso_principal;fase_de_vida;possui_plano_de_seguranca;possui_pae;data_ultima_inspecao;latitude;longitude
5559;Barragem de Rejeito Estrela 03;Nossa Senhora do Livramento;Agência Nacional de Mineração - ANM;HEUREKA MINERACAO LTDA;Córrego Pirapora;8965744;montante;Alto;Alto;A;10.0;0.695;Contenção de rejeitos de mineração;Desativada;Sim;Sim;2022-12-19;-15.654638889000012;-56.38876388900002
26538;Sitio Pirapora;Nossa Senhora do Livramento;MT - Secretaria de Estado do Meio Ambiente - SEMA;BENEDITO NORBERTO DE BARROS;Rio Pari;896574;montante;Alto;Baixo;C;8.0;0.683;Aquicultura;Operação;Não;;;-15.652361111000005;-56.483222221999995
36689;Barragem I - Fazenda Pouso da Garça;Cuiabá;MT - Secretaria de Estado do Meio Ambiente - SEMA;;Ribeirão Dois Córregos;89657542;montante;Médio;Baixo;D;7.1;0.501;Paisagismo;Operação;Não;;;-15.467388889000006;-56.16988888899999
7994;Faz. Cabeça Branca - Barragem 01;Nossa Senhora do Livramento;MT - Secretaria de Estado do Meio Ambiente - SEMA;ERALDO COIADO;Rio Jangada;89658;montante;Não se Aplica;Baixo;;10.0;0.458;Aquicultura;Operação;Não;;;-15.586999999999989;-56.809000000000026
26131;BARRAGEM JVR;Cuiabá;Agência Nacional de Mineração - ANM;JOAO ROBERTO CARDOSO;Ribeirão da Ponte ou Olipa;8965752;montante;Médio;Alto;A;20.75;0.407;Contenção de rejeitos de mineração;Operação;Sim;Sim;2021-09-06;-15.534016667000003;-56.05063611100002
35637;BA-01;Nossa Senhora do Livramento;MT - Secretaria de Estado do Meio Ambiente - SEMA;SANTA FELICIDADE MINERACAO SPE LTDA;Córrego Tarumã;8965742;montante;Médio;Baixo;D;6.8;0.385;Industrial;;Não;;;-15.659722222000028;-56.35444444400002
8008;Estância Recreio;Nossa Senhora do Livramento;MT - Secretaria de Estado do Meio Ambiente - SEMA;VANIA ROBERTA DE OLIVEIRA SANCHES E OUTRA;Rio Pari;896574;montante;Não se Aplica;Baixo;;7.0;0.367;Aquicultura;Operação;Não;;;-15.648861110999974;-56.49727777800001
5563;Santa Maria;Nossa Senhora do Livramento;Agência Nacional de Mineração - ANM;JOSE MARIA OTAVIO MARTINS DUARTE;Córrego Pirapora;8965744;montante;Alto;Médio;B;18.0;0.35;Contenção de rejeitos de mineração;Operação;Sim;Sim;2019-12-26;-15.647963888999982;-56.381338889000006
22009;BR SANTA FELICIDADE 02;Nossa Senhora do Livramento;Agência Nacional de Mineração - ANM;SANTA FELICIDADE MINERACAO SPE LTDA;Córrego Tarumã;8965742;montante;Baixo;Baixo;E;19.0;0.331;Contenção de rejeitos de mineração;Operação;Sim;Sim;2026-05-19;-15.664294444000006;-56.35454722200001
20754;Fazenda 3 irmãos;Cuiabá;MT - Secretaria de Estado do Meio Ambiente - SEMA;Dorismar Rodrigues dos Santos;Ribeirão Dois Córregos;89657542;montante;Não se Aplica;Baixo;;4.5;0.316;Aquicultura;Operação;Não;;;-15.360666666999975;-56.10419444399997
7992;Fazenda Cabeça Branca - Barragem 03;Nossa Senhora do Livramento;MT - Secretaria de Estado do Meio Ambiente - SEMA;ERALDO COIADO;Córrego Taquara;8965896;montante;Não se Aplica;Baixo;;8.0;0.306;Aquicultura;Operação;Não;;;-15.579999999999984;-56.81900000000002
26171;MULTI 1;Nossa Senhora do Livramento;Agência Nacional de Mineração - ANM;Ricardo Padilla de Bordon Neves;Córrego Tarumã;8965742;montante;Baixo;Baixo;E;5.0;0.283;Contenção de rejeitos de mineração;Desativada;Não;;;-15.639036110999996;-56.340294443999994
5562;Barragem de Rejeito Estrela 02;Nossa Senhora do Livramento;Agência Nacional de Mineração - ANM;HEUREKA MINERACAO LTDA;Córrego Pirapora;8965744;montante;Alto;Alto;A;9.0;0.283;Contenção de rejeitos de mineração;Desativada;Sim;Sim;2022-12-19;-15.654633332999992;-56.385850000000005
35150;Fazenda Curió - Barramento I;Rosário Oeste;MT - Secretaria de Estado do Meio Ambiente - SEMA;VALDIR DAROIT;Ribeirão Grande;896592;montante;Médio;Médio;C;5.04;0.28;Paisagismo;Operação;Não;;;-15.096416667000028;-56.54847222199999
5339;ESTÂNCIA RANCHO DOURADO;Várzea Grande;MT - Secretaria de Estado do Meio Ambiente - SEMA;IGOR CESAR DAVOGLIO;Ribeirão Esmeril;8965756;montante;Não Classificado;Não Classificado;;4.6;0.223;Aquicultura;Operação;Não;;;-15.490833333000012;-56.291666667000015
35119;BARRAGEM ROSA CRISTINA I;Várzea Grande;MT - Secretaria de Estado do Meio Ambiente - SEMA;IGOR CESAR DAVOGLIO;Ribeirão Esmeril;8965756;montante;Médio;Médio;C;5.5;0.19;Aquicultura;;Não;;;-15.488249999999994;-56.292944444
32445;Mangaba e Aterrado;Cuiabá;MT - Secretaria de Estado do Meio Ambiente - SEMA;MANGABA URBANISMO LTDA;Rio Bandeira;8965754;montante;Não Classificado;Baixo;;7.4;0.159;Regularização de vazão;Projeto;Não;;;-15.424888888999988;-56.037583332999986
35477;Barramento III - Fazenda São José I;Rosário Oeste;MT - Secretaria de Estado do Meio Ambiente - SEMA;GILBERTO EGLAIR POSSAMAI;Ribeirão Marzagão;89664;montante;Médio;Baixo;D;3.49;0.157;Aquicultura;Operação;Não;;;-14.642444443999977;-55.805666667000025
20196;Afluente do Pitomba;Várzea Grande;MT - Secretaria de Estado do Meio Ambiente - SEMA;INBESP – IND. E BENEF. DE SUBPROD. DE ORIGEM ANIMAL LTDA;Rio Pari;896574;montante;Não Classificado;Baixo;;12.5;0.157;Industrial;Operação;Não;;;-15.634805556000003;-56.22258333299999
29888;BARRAGEM FAZENDA PANFLORA;Rosário Oeste;MT - Secretaria de Estado do Meio Ambiente - SEMA;PANFLORA AGROFLORESTAL LTDA;Ribeirão Grande;896592;montante;Não Classificado;Não Classificado;;3.8;0.141;Dessedentação Animal;Operação;Não;;;-15.084666667000022;-56.559944443999996
35115;Barragem XIX;Nossa Senhora do Livramento;MT - Secretaria de Estado do Meio Ambiente - SEMA;SILMAR DE SOUZA GONÇALVEZ;Ribeirão dos Peixes;8965898;montante;Médio;Baixo;D;6.84;0.13;Aquicultura;Operação;Não;;;-15.604888888999994;-56.795500000000004
