id_snisb;nome_powerbi;municipio_powerbi;comprimento_coroamento_m;altura_estimada_m;capacidade_estimada_m3;data_ultima_fiscalizacao;data_ultima_autuacao;data_inicio_fase_de_vida;data_inspecao_seguranca_regular;tipo_empreendedor;corpo_hidrico;data_atualizacao_registro;situacao_cadastro
26131;BARRAGEM JVR;CUIABÁ;2040;13;0;2025-10-14;2023-11-07;2018-03-20;;Pessoa Física;Ribeirão da Ponte ou Olipa;;Classe II B - Inertes
26133;Martins;Poconé;1050;0;0;2023-07-24;2023-07-24;2003-03-04;;Pessoa Física;SEM NOME;2025-11-26;Classe II B - Inertes
26138;Barragem Serrinha;CUIABÁ;1253;0;0;2024-02-20;2023-07-25;2001-10-17;;;Rio Coxipó;2025-11-24;Classe II B - Inertes
26139;TUPA 2;Poconé;1250;0;0;;2022-05-31;2024-06-29;;;Ribeirão Bento Gomes;2025-11-24;Classe II B - Inertes
26140;TUPA 3;Poconé;519.05;0;0;;;2024-06-29;;;Ribeirão Bento Gomes;2025-11-26;Classe II B - Inertes
26142;Barragem  LVR;JUÍNA;532;0;0;;;2024-06-19;;;Rio Cinta Larga;2025-11-12;Classe II B - Inertes
26145;Barragem de Rejeitos SB 02;Poconé;1365;0;0;2025-10-14;;2021-12-10;;Pessoa Física;Rio Bento Gomes;2025-11-24;Classe II B - Inertes
26146;Barragem TB;CUIABÁ;;0;1.507;2023-02-15;;2022-07-19;;;Ribeirão da Ponte ou Olipa;2026-04-01;
26147;BR ÁGUA DE COCO;NOSSA SENHORA DO LIVRAMENTO;765;0;0;;;2012-01-01;;;Córrego Barbeiro;2025-11-24;Classe II B - Inertes
26150;CHIMBUVA;NOSSA SENHORA DO LIVRAMENTO;3355.07;0;0;;;2021-07-28;;Pessoa Física;Córrego do Cervo;2025-11-26;Classe II B - Inertes
26156;Barragem JL;NOSSA SENHORA DO LIVRAMENTO;719;0;0;;;2015-06-09;;;SEM NOME;2025-11-24;Classe II B - Inertes
26158;BRITO;NOSSA SENHORA DO LIVRAMENTO;860;0;0;;;2017-08-15;;Pessoa Física;SEM NOME;2025-11-24;Classe II B - Inertes
