instante;arquivo;canal;status;detalhe;dry_run
2026-08-02T22:05:47;amarelo_32398.txt;telegram+email;dry-run;"chars=7930; emails_piloto=0";sim
2026-08-02T22:05:47;amarelo_32421.txt;telegram+email;dry-run;"chars=8091; emails_piloto=0";sim
2026-08-02T22:05:47;amarelo_32445.txt;telegram+email;dry-run;"chars=8094; emails_piloto=0";sim
2026-08-02T22:05:47;amarelo_33355.txt;telegram+email;dry-run;"chars=8100; emails_piloto=0";sim
2026-08-02T22:05:47;amarelo_33960.txt;telegram+email;dry-run;"chars=8100; emails_piloto=0";sim
2026-08-02T22:05:47;amarelo_34145.txt;telegram+email;dry-run;"chars=8154; emails_piloto=0";sim
2026-08-02T22:05:47;amarelo_34146.txt;telegram+email;dry-run;"chars=8155; emails_piloto=0";sim
2026-08-02T22:05:47;amarelo_34731.txt;telegram+email;dry-run;"chars=8117; emails_piloto=0";sim
2026-08-02T22:05:47;amarelo_34732.txt;telegram+email;dry-run;"chars=8105; emails_piloto=0";sim
2026-08-02T22:05:47;amarelo_34733.txt;telegram+email;dry-run;"chars=8126; emails_piloto=0";sim
2026-08-02T22:05:47;amarelo_34734.txt;telegram+email;dry-run;"chars=7945; emails_piloto=0";sim
2026-08-02T22:05:47;amarelo_35000.txt;telegram+email;dry-run;"chars=8091; emails_piloto=0";sim
2026-09-07T11:06:54;amarelo_20601.txt;telegram+email;dry-run;"chars=8365; emails_piloto=0";sim;ALERTA-20260907-0706-20601
2026-09-07T11:06:54;amarelo_20602.txt;telegram+email;dry-run;"chars=8365; emails_piloto=0";sim;ALERTA-20260907-0706-20602
2026-09-07T11:06:54;amarelo_20603.txt;telegram+email;dry-run;"chars=8365; emails_piloto=0";sim;ALERTA-20260907-0706-20603
2026-09-07T11:06:54;amarelo_20604.txt;telegram+email;dry-run;"chars=8365; emails_piloto=0";sim;ALERTA-20260907-0706-20604
2026-09-07T11:06:54;amarelo_20605.txt;telegram+email;dry-run;"chars=8365; emails_piloto=0";sim;ALERTA-20260907-0706-20605
2026-09-07T11:06:54;amarelo_20606.txt;telegram+email;dry-run;"chars=8365; emails_piloto=0";sim;ALERTA-20260907-0706-20606
2026-09-07T11:06:54;amarelo_20617.txt;telegram+email;dry-run;"chars=8128; emails_piloto=0";sim;ALERTA-20260907-0706-20617
2026-09-07T11:06:54;amarelo_20618.txt;telegram+email;dry-run;"chars=7975; emails_piloto=0";sim;ALERTA-20260907-0706-20618
2026-09-07T11:06:54;amarelo_20754.txt;telegram+email;dry-run;"chars=7879; emails_piloto=0";sim;ALERTA-20260907-0706-20754
2026-09-07T11:06:54;amarelo_22009.txt;telegram+email;dry-run;"chars=7890; emails_piloto=0";sim;ALERTA-20260907-0706-22009
2026-09-07T11:06:54;amarelo_26131.txt;telegram+email;dry-run;"chars=8015; emails_piloto=0";sim;ALERTA-20260907-0706-26131
2026-09-07T11:06:54;amarelo_26138.txt;telegram+email;dry-run;"chars=8139; emails_piloto=0";sim;ALERTA-20260907-0706-26138
2026-09-07T11:06:54;amarelo_26146.txt;telegram+email;dry-run;"chars=8014; emails_piloto=0";sim;ALERTA-20260907-0706-26146
2026-09-07T11:06:54;amarelo_26534.txt;telegram+email;dry-run;"chars=7702; emails_piloto=0";sim;ALERTA-20260907-0706-26534
2026-09-07T11:06:54;amarelo_27954.txt;telegram+email;dry-run;"chars=7895; emails_piloto=0";sim;ALERTA-20260907-0706-27954
2026-09-07T11:06:54;amarelo_31578.txt;telegram+email;dry-run;"chars=7708; emails_piloto=0";sim;ALERTA-20260907-0706-31578
2026-09-07T11:06:54;amarelo_31620.txt;telegram+email;dry-run;"chars=7737; emails_piloto=0";sim;ALERTA-20260907-0706-31620
2026-09-07T11:06:54;amarelo_31954.txt;telegram+email;dry-run;"chars=7899; emails_piloto=0";sim;ALERTA-20260907-0706-31954
2026-09-07T11:06:54;amarelo_32261.txt;telegram+email;dry-run;"chars=7870; emails_piloto=0";sim;ALERTA-20260907-0706-32261
2026-09-07T11:06:54;amarelo_32398.txt;telegram+email;dry-run;"chars=7721; emails_piloto=0";sim;ALERTA-20260907-0706-32398
2026-09-07T11:06:54;amarelo_32421.txt;telegram+email;dry-run;"chars=7882; emails_piloto=0";sim;ALERTA-20260907-0706-32421
2026-09-07T11:06:54;amarelo_32445.txt;telegram+email;dry-run;"chars=7885; emails_piloto=0";sim;ALERTA-20260907-0706-32445
2026-09-07T11:06:54;amarelo_33355.txt;telegram+email;dry-run;"chars=7891; emails_piloto=0";sim;ALERTA-20260907-0706-33355
2026-09-07T11:06:54;amarelo_33960.txt;telegram+email;dry-run;"chars=7891; emails_piloto=0";sim;ALERTA-20260907-0706-33960
2026-09-07T11:06:54;amarelo_34145.txt;telegram+email;dry-run;"chars=8136; emails_piloto=0";sim;ALERTA-20260907-0706-34145
2026-09-07T11:06:54;amarelo_34146.txt;telegram+email;dry-run;"chars=8137; emails_piloto=0";sim;ALERTA-20260907-0706-34146
2026-09-07T11:06:54;amarelo_34731.txt;telegram+email;dry-run;"chars=7908; emails_piloto=0";sim;ALERTA-20260907-0706-34731
2026-09-07T11:06:54;amarelo_34732.txt;telegram+email;dry-run;"chars=7896; emails_piloto=0";sim;ALERTA-20260907-0706-34732
2026-09-07T11:06:54;amarelo_34733.txt;telegram+email;dry-run;"chars=7917; emails_piloto=0";sim;ALERTA-20260907-0706-34733
2026-09-07T11:06:54;amarelo_34734.txt;telegram+email;dry-run;"chars=7736; emails_piloto=0";sim;ALERTA-20260907-0706-34734
2026-09-07T11:11:24;amarelo_20601.txt;telegram+email;dry-run;"chars=8365; emails_piloto=0";sim;ALERTA-20260907-0711-20601
2026-09-07T11:11:24;amarelo_20602.txt;telegram+email;dry-run;"chars=8365; emails_piloto=0";sim;ALERTA-20260907-0711-20602
2026-09-07T11:11:24;amarelo_20603.txt;telegram+email;dry-run;"chars=8365; emails_piloto=0";sim;ALERTA-20260907-0711-20603
2026-09-07T11:11:24;amarelo_20604.txt;telegram+email;dry-run;"chars=8365; emails_piloto=0";sim;ALERTA-20260907-0711-20604
2026-09-07T11:11:24;amarelo_20605.txt;telegram+email;dry-run;"chars=8365; emails_piloto=0";sim;ALERTA-20260907-0711-20605
2026-09-07T11:11:24;amarelo_20606.txt;telegram+email;dry-run;"chars=8365; emails_piloto=0";sim;ALERTA-20260907-0711-20606
2026-09-07T11:11:24;amarelo_20617.txt;telegram+email;dry-run;"chars=8128; emails_piloto=0";sim;ALERTA-20260907-0711-20617
2026-09-07T11:11:24;amarelo_20618.txt;telegram+email;dry-run;"chars=7975; emails_piloto=0";sim;ALERTA-20260907-0711-20618
2026-09-07T11:11:24;amarelo_20754.txt;telegram+email;dry-run;"chars=7988; emails_piloto=0";sim;ALERTA-20260907-0711-20754
2026-09-07T11:11:24;amarelo_22009.txt;telegram+email;dry-run;"chars=7999; emails_piloto=0";sim;ALERTA-20260907-0711-22009
2026-09-07T11:11:24;amarelo_26131.txt;telegram+email;dry-run;"chars=8121; emails_piloto=0";sim;ALERTA-20260907-0711-26131
2026-09-07T11:11:24;amarelo_26138.txt;telegram+email;dry-run;"chars=8245; emails_piloto=0";sim;ALERTA-20260907-0711-26138
2026-09-07T11:11:24;amarelo_26146.txt;telegram+email;dry-run;"chars=8120; emails_piloto=0";sim;ALERTA-20260907-0711-26146
2026-09-07T11:11:24;amarelo_26534.txt;telegram+email;dry-run;"chars=7702; emails_piloto=0";sim;ALERTA-20260907-0711-26534
2026-09-07T11:11:24;amarelo_27954.txt;telegram+email;dry-run;"chars=8004; emails_piloto=0";sim;ALERTA-20260907-0711-27954
2026-09-07T11:11:24;amarelo_31578.txt;telegram+email;dry-run;"chars=7817; emails_piloto=0";sim;ALERTA-20260907-0711-31578
2026-09-07T11:11:24;amarelo_31620.txt;telegram+email;dry-run;"chars=7846; emails_piloto=0";sim;ALERTA-20260907-0711-31620
2026-09-07T11:11:24;amarelo_31954.txt;telegram+email;dry-run;"chars=8008; emails_piloto=0";sim;ALERTA-20260907-0711-31954
2026-09-07T11:11:24;amarelo_32261.txt;telegram+email;dry-run;"chars=7980; emails_piloto=0";sim;ALERTA-20260907-0711-32261
2026-09-07T11:11:24;amarelo_32398.txt;telegram+email;dry-run;"chars=7830; emails_piloto=0";sim;ALERTA-20260907-0711-32398
2026-09-07T11:11:24;amarelo_32421.txt;telegram+email;dry-run;"chars=7992; emails_piloto=0";sim;ALERTA-20260907-0711-32421
2026-09-07T11:11:24;amarelo_32445.txt;telegram+email;dry-run;"chars=7994; emails_piloto=0";sim;ALERTA-20260907-0711-32445
2026-09-07T11:11:24;amarelo_33355.txt;telegram+email;dry-run;"chars=8000; emails_piloto=0";sim;ALERTA-20260907-0711-33355
2026-09-07T11:11:24;amarelo_33960.txt;telegram+email;dry-run;"chars=8000; emails_piloto=0";sim;ALERTA-20260907-0711-33960
2026-09-07T11:11:24;amarelo_34145.txt;telegram+email;dry-run;"chars=8136; emails_piloto=0";sim;ALERTA-20260907-0711-34145
2026-09-07T11:11:24;amarelo_34146.txt;telegram+email;dry-run;"chars=8137; emails_piloto=0";sim;ALERTA-20260907-0711-34146
2026-09-07T11:11:24;amarelo_34731.txt;telegram+email;dry-run;"chars=8018; emails_piloto=0";sim;ALERTA-20260907-0711-34731
2026-09-07T11:11:24;amarelo_34732.txt;telegram+email;dry-run;"chars=8006; emails_piloto=0";sim;ALERTA-20260907-0711-34732
2026-09-07T11:11:24;amarelo_34733.txt;telegram+email;dry-run;"chars=8026; emails_piloto=0";sim;ALERTA-20260907-0711-34733
2026-09-07T11:11:24;amarelo_34734.txt;telegram+email;dry-run;"chars=7845; emails_piloto=0";sim;ALERTA-20260907-0711-34734
2026-09-07T13:48:37;amarelo_22009.txt;telegram+email;dry-run;"chars=7976; emails_piloto=0";sim;ALERTA-20260907-0948-22009
2026-09-07T13:48:37;amarelo_5559.txt;telegram+email;dry-run;"chars=7965; emails_piloto=0";sim;ALERTA-20260907-0948-5559
2026-09-07T13:48:37;amarelo_5562.txt;telegram+email;dry-run;"chars=7965; emails_piloto=0";sim;ALERTA-20260907-0948-5562
2026-09-07T13:48:37;amarelo_5563.txt;telegram+email;dry-run;"chars=8088; emails_piloto=0";sim;ALERTA-20260907-0948-5563
2026-09-07T13:48:37;amarelo_5573.txt;telegram+email;dry-run;"chars=8070; emails_piloto=0";sim;ALERTA-20260907-0948-5573
2026-09-07T13:48:37;amarelo_5603.txt;telegram+email;dry-run;"chars=8093; emails_piloto=0";sim;ALERTA-20260907-0948-5603
2026-09-07T13:48:37;amarelo_586.txt;telegram+email;dry-run;"chars=7961; emails_piloto=0";sim;ALERTA-20260907-0948-586
2026-09-07T13:48:37;verde_20047.txt;telegram+email;dry-run;"chars=7451; emails_piloto=0";sim;ALERTA-20260907-0948-20047
2026-09-07T13:48:37;verde_20048.txt;telegram+email;dry-run;"chars=7452; emails_piloto=0";sim;ALERTA-20260907-0948-20048
2026-09-07T13:48:37;verde_20049.txt;telegram+email;dry-run;"chars=7456; emails_piloto=0";sim;ALERTA-20260907-0948-20049
2026-09-07T13:48:37;verde_20135.txt;telegram+email;dry-run;"chars=7364; emails_piloto=0";sim;ALERTA-20260907-0948-20135
2026-09-07T13:48:37;verde_20138.txt;telegram+email;dry-run;"chars=7412; emails_piloto=0";sim;ALERTA-20260907-0948-20138
2026-09-07T13:48:37;verde_20141.txt;telegram+email;dry-run;"chars=7402; emails_piloto=0";sim;ALERTA-20260907-0948-20141
2026-09-07T13:48:37;verde_20177.txt;telegram+email;dry-run;"chars=7245; emails_piloto=0";sim;ALERTA-20260907-0948-20177
2026-09-07T13:48:37;verde_20196.txt;telegram+email;dry-run;"chars=7446; emails_piloto=0";sim;ALERTA-20260907-0948-20196
2026-09-07T13:48:37;verde_20601.txt;telegram+email;dry-run;"chars=7459; emails_piloto=0";sim;ALERTA-20260907-0948-20601
2026-09-07T13:48:37;verde_20602.txt;telegram+email;dry-run;"chars=7459; emails_piloto=0";sim;ALERTA-20260907-0948-20602
2026-09-07T13:48:37;verde_20603.txt;telegram+email;dry-run;"chars=7459; emails_piloto=0";sim;ALERTA-20260907-0948-20603
2026-09-07T13:48:37;verde_20604.txt;telegram+email;dry-run;"chars=7459; emails_piloto=0";sim;ALERTA-20260907-0948-20604
2026-09-07T13:48:37;verde_20605.txt;telegram+email;dry-run;"chars=7459; emails_piloto=0";sim;ALERTA-20260907-0948-20605
2026-09-07T13:48:37;verde_20606.txt;telegram+email;dry-run;"chars=7459; emails_piloto=0";sim;ALERTA-20260907-0948-20606
2026-09-07T13:48:37;verde_20617.txt;telegram+email;dry-run;"chars=7442; emails_piloto=0";sim;ALERTA-20260907-0948-20617
2026-09-07T13:48:37;verde_20618.txt;telegram+email;dry-run;"chars=7286; emails_piloto=0";sim;ALERTA-20260907-0948-20618
2026-09-07T13:48:37;verde_20754.txt;telegram+email;dry-run;"chars=7410; emails_piloto=0";sim;ALERTA-20260907-0948-20754
2026-09-07T13:48:37;verde_21935.txt;telegram+email;dry-run;"chars=7444; emails_piloto=0";sim;ALERTA-20260907-0948-21935
2026-09-07T13:48:37;verde_21940.txt;telegram+email;dry-run;"chars=7730; emails_piloto=0";sim;ALERTA-20260907-0948-21940
2026-09-07T13:48:37;verde_21949.txt;telegram+email;dry-run;"chars=7167; emails_piloto=0";sim;ALERTA-20260907-0948-21949
2026-09-07T13:48:37;verde_26131.txt;telegram+email;dry-run;"chars=7562; emails_piloto=0";sim;ALERTA-20260907-0948-26131
2026-09-07T13:48:37;verde_26138.txt;telegram+email;dry-run;"chars=7686; emails_piloto=0";sim;ALERTA-20260907-0948-26138
2026-09-07T13:48:37;verde_26146.txt;telegram+email;dry-run;"chars=7561; emails_piloto=0";sim;ALERTA-20260907-0948-26146
