id_snisb;nome;municipio_sede;codigo_ibge;data_referencia;chuva_24h_mm;chuva_72h_mm;chuva_prevista_24_72h_mm;percentil_climatologico;saturacao_antecedente;razao_nivel_cota_alerta;dias_consecutivos_chuva_intensa;fonte_precip;fonte_previsao;fonte_solo;fonte_hidro;nivel_alerta_hidro;alerta_cemaden;alerta_cemaden_nivel;alerta_inmet;alerta_inmet_nivel;alerta_ana_nivel;nivel_alerta_integrado;score_alerta_integrado;componente_dominante;motivo_integrado;vazao_prevista_glofas_m3s;fonte_glofas;n_municipios_contribuintes;municipios_contribuintes_ibge;aproximacao_espacial;fonte_telemetria_a;estacao_inmet;dist_estacao_km;cota_cm;vazao_m3s;cota_alerta_cm;codigo_estacao_ana_ref;a6_fonte;data_cota_ana
4564;PCH Alto Araguaia - Alto Araguaia;Alto Araguaia;5100300;2026-09-06;2.8;8.8;9.8;38.0;0,4400;;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;;Tempestade;amarelo;;;;;;;;1;5100300;municipio_sede;;;;;;;24055000;sem_cota_alerta;
36649;Barragem I - Fazenda Água Cristalina;Alto Boa Vista;5100359;2026-09-06;4.1;8.5;3.9;30.0;0,8740;;0;openmeteo_ponto;openmeteo_ponto;openmeteo_soil_proxy;;;;;Tempestade;amarelo;;;;;;;;1;5100359;ponto_barragem_telemetria;openmeteo_ponto;;;;;;26310000;sem_cota_alerta;
22390;Massa d'Água #100513;Alto Boa Vista;5100359;2026-09-06;3.9;19.7;5.1;46.5;0,8740;;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;;Tempestade;amarelo;;;;;;;;1;5100359;municipio_sede;;;;;;;26310000;sem_cota_alerta;
22392;Massa d'Água #101453;Alto Boa Vista;5100359;2026-09-06;3.9;19.7;5.1;46.5;0,8740;;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;;Tempestade;amarelo;;;;;;;;1;5100359;municipio_sede;;;;;;;26310000;sem_cota_alerta;
22395;Massa d'Água #102961;Alto Boa Vista;5100359;2026-09-06;3.9;19.7;5.1;46.5;0,8740;;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;;Tempestade;amarelo;;;;;;;;1;5100359;municipio_sede;;;;;;;26310000;sem_cota_alerta;
22421;Massa d'Água #111714;Alto Boa Vista;5100359;2026-09-06;10.5;22.7;9.5;84.5;0,8740;;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;;Tempestade;amarelo;;;;;;;;2;5100359|5107180;sede_mais_montante_max;;;;;;;;;
22422;Massa d'Água #111848;Alto Boa Vista;5100359;2026-09-06;3.9;19.7;5.1;46.5;0,8740;;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;;Tempestade;amarelo;;;;;;;;1;5100359;municipio_sede;;;;;;;26310000;sem_cota_alerta;
22468;Massa d'Água #129111;Alto Boa Vista;5100359;2026-09-06;3.9;19.7;5.1;46.5;0,8740;;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;;Tempestade;amarelo;;;;;;;;1;5100359;municipio_sede;;;;;;;26310000;sem_cota_alerta;
22469;Massa d'Água #129310;Alto Boa Vista;5100359;2026-09-06;3.9;19.7;5.1;46.5;0,8740;;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;;Tempestade;amarelo;;;;;;;;1;5100359;municipio_sede;;;;;;;;;
22488;Massa d'Água #137078;Alto Boa Vista;5100359;2026-09-06;3.9;19.7;5.1;46.5;0,8740;;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;;Tempestade;amarelo;;;;;;;;1;5100359;municipio_sede;;;;;;;;;
22492;Massa d'Água #137918;Alto Boa Vista;5100359;2026-09-06;3.9;19.7;5.1;46.5;0,8740;;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;;Tempestade;amarelo;;;;;;;;1;5100359;municipio_sede;;;;;;;26310000;sem_cota_alerta;
22496;Massa d'Água #138439;Alto Boa Vista;5100359;2026-09-06;3.9;19.7;5.1;46.5;0,8740;;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;;Tempestade;amarelo;;;;;;;;1;5100359;municipio_sede;;;;;;;26310000;sem_cota_alerta;
22500;Massa d'Água #139738;Alto Boa Vista;5100359;2026-09-06;3.9;19.7;5.1;46.5;0,8740;;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;;Tempestade;amarelo;;;;;;;;1;5100359;municipio_sede;;;;;;;;;
22502;Massa d'Água #140018;Alto Boa Vista;5100359;2026-09-06;3.9;19.7;5.1;46.5;0,8740;;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;;Tempestade;amarelo;;;;;;;;1;5100359;municipio_sede;;;;;;;;;
22513;Massa d'Água #143022;Alto Boa Vista;5100359;2026-09-06;3.9;19.7;5.1;46.5;0,8740;;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;;Tempestade;amarelo;;;;;;;;1;5100359;municipio_sede;;;;;;;26310000;sem_cota_alerta;
22519;Massa d'Água #144145;Alto Boa Vista;5100359;2026-09-06;3.9;19.7;5.1;46.5;0,8740;;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;;Tempestade;amarelo;;;;;;;;1;5100359;municipio_sede;;;;;;;;;
22551;Massa d'Água #150115;Alto Boa Vista;5100359;2026-09-06;3.9;19.7;5.1;46.5;0,8740;;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;;Tempestade;amarelo;;;;;;;;1;5100359;municipio_sede;;;;;;;26310000;sem_cota_alerta;
22564;Massa d'Água #151821;Alto Boa Vista;5100359;2026-09-06;3.9;19.7;5.1;46.5;0,8740;;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;;Tempestade;amarelo;;;;;;;;1;5100359;municipio_sede;;;;;;;;;
22565;Massa d'Água #151852;Alto Boa Vista;5100359;2026-09-06;3.9;19.7;5.1;46.5;0,8740;;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;;Tempestade;amarelo;;;;;;;;1;5100359;municipio_sede;;;;;;;26310000;sem_cota_alerta;
22567;Massa d'Água #152660;Alto Boa Vista;5100359;2026-09-06;10.5;22.7;9.5;84.5;0,8740;;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;;Tempestade;amarelo;;;;;;;;2;5100359|5107180;sede_mais_montante_max;;;;;;;26310000;sem_cota_alerta;
22574;Massa d'Água #155534;Alto Boa Vista;5100359;2026-09-06;3.9;19.7;5.1;46.5;0,8740;;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;;Tempestade;amarelo;;;;;;;;1;5100359;municipio_sede;;;;;;;26310000;sem_cota_alerta;
22615;Massa d'Água #160929;Alto Boa Vista;5100359;2026-09-06;3.9;19.7;5.1;46.5;0,8740;;0;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;;Tempestade;amarelo;;;;;;;;1;5100359;municipio_sede;;;;;;;;;
