id_snisb;nome_barragem;municipio_sede;piloto_eixo;rank;codigo_estacao;nome_estacao;nome_rio;municipio_estacao;lat;lon;dist_barragem_km;dist_eixo_km;no_corredor_eixo;relacao;cota_cm;vazao_m3s;cota_alerta_cm;razao_nivel_cota_alerta;data_ultima;fonte_estacao;fonte_telemetria;a6_fonte
36691;Barragem III - Fazenda Pouso da Garça;Cuiabá;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;78,06;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
29377;Barragem MSJ;Cuiabá;0;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;71,94;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
8041;Barragem T04;Cuiabá;0;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;77,51;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
26146;Barragem TB;Cuiabá;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;77,33;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
31578;Barragem Taguá;Cuiabá;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;69,40;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
35023;Barramento - Mineração Casa de Pedra;Cuiabá;0;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;75,49;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
33960;Barramento 1 - Mangaba Urbanismo LTDA;Cuiabá;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;68,44;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
33355;Barramento 2 - Mangaba Urbanismo LTDA;Cuiabá;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;68,25;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
35027;Barramento ? Fazenda Jardim;Cuiabá;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;34,94;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
20211;CASA DE PEDRA;Cuiabá;0;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;77,70;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
19991;FAZENDA LUAR;Cuiabá;0;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;74,37;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
20754;Fazenda 3 irmãos;Cuiabá;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;64,99;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
26534;Fazenda KM;Cuiabá;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;41,48;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
27954;Lago Recreativo Cuiabá;Cuiabá;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;74,48;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
31620;Loteamento Brisas do Campo;Cuiabá;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;78,62;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
32445;Mangaba e Aterrado;Cuiabá;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;68,08;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
27623;PURO OURO;Cuiabá;0;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;77,50;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
32261;Represa da Estrada;Cuiabá;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;65,13;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
31286;Reservatório  B1;Cuiabá;0;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;71,01;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
31954;SS RANCH;Cuiabá;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;75,44;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
36582;Árica;Cuiabá;0;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;77,85;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
26131;BARRAGEM JVR;Cuiabá;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;79,87;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
5794;BARRAGEM T02;Cuiabá;0;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;78,25;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
26138;Barragem Serrinha;Cuiabá;1;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;75,64;1,04;1;montante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
