codigo_setor;codigo_ibge;municipio;situacao;area_km2;populacao;domicilios;latitude;longitude;ano_censo;fonte;aviso
510340310430042;5103403;Cuiabá;Urbana;0.3245;382;126;-15.620591;-56.051476;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310430043;5103403;Cuiabá;Urbana;0.1281;626;259;-15.626378;-56.050354;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310430158;5103403;Cuiabá;Urbana;0.2901;607;268;-15.621675;-56.059553;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310420181;5103403;Cuiabá;Urbana;0.3591;707;331;-15.605442;-56.044104;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310430265;5103403;Cuiabá;Urbana;0.132;802;407;-15.623663;-56.051735;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310430313;5103403;Cuiabá;Urbana;0.1004;5;1;-15.621143;-56.056326;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310430314;5103403;Cuiabá;Urbana;0.0364;658;333;-15.62246;-56.058065;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310430333;5103403;Cuiabá;Urbana;0.0855;1079;576;-15.623105;-56.055765;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310430334;5103403;Cuiabá;Urbana;0.1629;363;186;-15.623406;-56.057793;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310430339;5103403;Cuiabá;Urbana;0.0274;768;410;-15.629823;-56.05879;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310420082;5103403;Cuiabá;Urbana;0.1944;313;174;-15.618899;-56.06978;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310430038;5103403;Cuiabá;Urbana;0.3039;405;209;-15.627904;-56.053362;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310420060;5103403;Cuiabá;Urbana;0.4251;745;285;-15.624477;-56.073235;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340310420079;5103403;Cuiabá;Urbana;0.4686;855;347;-15.625552;-56.065895;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340305400004;5103403;Cuiabá;Urbana;0.0826;0;0;-15.549843;-56.055927;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340305400028;5103403;Cuiabá;Urbana;0.067;525;187;-15.548231;-56.054356;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340305400043;5103403;Cuiabá;Urbana;0.0474;426;147;-15.546916;-56.05315;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340305400070;5103403;Cuiabá;Urbana;0.0928;337;142;-15.546154;-56.058855;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340305400036;5103403;Cuiabá;Urbana;0.1216;1074;425;-15.545244;-56.057178;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
510340305400071;5103403;Cuiabá;Urbana;0.0999;415;133;-15.54568;-56.06328;2022;IBGE Censo 2022 — malha setores + agregados básicos (V0001);"Centroide = centro da bbox do setor; exposição proxy por centroide na mancha"
