id_snisb;nome;municipio;raio_proxy_km;n_captacoes;n_escolas;n_ativos;servicos_essenciais_ameacados;captacao_ameacada;n_vias_malha;n_pontes;n_refs;isolamento_rodoviario;fonte
29384;BR SANTA FELICIDADE 04;Nossa Senhora do Livramento;10.0;2;0;0;0;Captação principal de sede municipal ou única captação;1;1;1;Acesso único sem alternativa;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
26671;Barragem 2;Nossa Senhora do Livramento;8.0;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
31722;Barragem 2  Fazenda Sossego;Nossa Senhora do Livramento;8.0;0;1;0;1;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
34856;Barragem GMX;Nossa Senhora do Livramento;8.0;1;0;0;0;Captação principal de sede municipal ou única captação;1;1;1;Acesso único sem alternativa;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
26156;Barragem JL;Nossa Senhora do Livramento;8.0;2;0;0;0;Captação principal de sede municipal ou única captação;1;1;1;Acesso único sem alternativa;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
34750;Barragem Mutuca;Nossa Senhora do Livramento;8.0;0;1;0;1;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
8014;Barragem Salinas 1;Nossa Senhora do Livramento;8.0;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
33351;Barragem Taquaral I;Nossa Senhora do Livramento;8.0;1;0;0;0;Captação principal de sede municipal ou única captação;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
35108;Barragem VI (montante);Nossa Senhora do Livramento;8.0;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
35107;Barragem VII (montante);Nossa Senhora do Livramento;8.0;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
35106;Barragem VIII (principal);Nossa Senhora do Livramento;8.0;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
35115;Barragem XIX;Nossa Senhora do Livramento;8.0;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
35102;Barragem XVII;Nossa Senhora do Livramento;8.0;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
35116;Barragem XVIII;Nossa Senhora do Livramento;8.0;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
29382;Barragem de Rejeito - Mineração Ouro Fino;Nossa Senhora do Livramento;8.0;3;1;2;3;Captação principal de sede municipal ou única captação;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
578;Barragem de Rejeito Max;Nossa Senhora do Livramento;8.01;0;0;0;0;Nenhuma;1;1;1;Acesso único sem alternativa;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
5648;Barragem do Serginho;Nossa Senhora do Livramento;8.0;0;0;0;0;Nenhuma;1;1;1;Acesso único sem alternativa;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
27624;Barragem_Valdenir2;Nossa Senhora do Livramento;8.0;1;0;0;0;Captação principal de sede municipal ou única captação;3;2;2;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
