categoria;nome;municipio;distancia_eixo_km;faixa;segmento_do_eixo;familias;hospitalar;detalhe;longitude;latitude
estabelecimento de saúde;INSTITUTO NEUROLOGICO E DA COLUNA VERTEBRAL;Cuiabá;1.51;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.103619;-15.60377
estabelecimento de saúde;MARIA LUCIA PINHEIRO PERRI;Cuiabá;1.51;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.103514;-15.603763
estabelecimento de saúde;FABIANE DE MELLO PINHEIRO CIA LTDA;Cuiabá;1.51;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.103614;-15.60379
estabelecimento de saúde;FPM SERVICOS DE SAUDE;Cuiabá;1.52;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.104337;-15.603588
estabelecimento de saúde;EXME;Cuiabá;1.52;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.078641;-15.619206
estabelecimento de saúde;DROGARIA SAO PAULO;Cuiabá;1.52;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.10359;-15.603681
estabelecimento de saúde;CYNARA MONIZ FIGUEIRA;Cuiabá;1.52;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.103587;-15.603654
estabelecimento de saúde;USF PASTOR JOSE GERARDO DOS ANJOS MARINGA I;Várzea Grande;1.52;até 2 km;jusante_capital;;Não;sem atendimento hospitalar;-56.085736;-15.672155
estabelecimento de saúde;EDINA RUTH GAZZONI;Cuiabá;1.53;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.103598;-15.60361
estabelecimento de saúde;OUVIR MENTE PSICOLOGIA CLINICA E ORGANIZACIONAL;Cuiabá;1.53;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.102689;-15.603712
estabelecimento de saúde;USF DOM AQUINO;Cuiabá;1.53;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.093401;-15.608412
