id_snisb;nome_barragem;municipio_sede;municipio_potencialmente_afetado;codigo_trecho_barragem;codigo_secao_controle_afetado;relacao_otto;idap;nivel;dano_potencial_associado
34039;CGH Fazenda Dois Irmãos - Córrego Seixas - Fazenda Dois Irmãos;Conquista D'Oeste;Nova Lacerda;46994962;46993962;montante;14;Verde;Baixo
34226;CGH Galera Centrais Eletricas 1a - 1;Conquista D'Oeste;Comodoro;4699484;46993296;montante;10;Verde;Baixo
34226;CGH Galera Centrais Eletricas 1a - 1;Conquista D'Oeste;Nova Lacerda;4699484;46993962;montante;10;Verde;Baixo
34732;BARRAGEM 1;Cuiabá;Nossa Senhora do Livramento;8965754;89657184;montante;17;Amarelo;Baixo
34732;BARRAGEM 1;Cuiabá;Várzea Grande;8965754;89657182;montante;17;Amarelo;Baixo
34733;BARRAGEM 2 SUPERIOR;Cuiabá;Nossa Senhora do Livramento;8965754;89657184;montante;16;Amarelo;Baixo
34733;BARRAGEM 2 SUPERIOR;Cuiabá;Várzea Grande;8965754;89657182;montante;16;Amarelo;Baixo
34734;BARRAGEM 3;Cuiabá;Nossa Senhora do Livramento;8965754;89657184;montante;17;Amarelo;Baixo
34734;BARRAGEM 3;Cuiabá;Várzea Grande;8965754;89657182;montante;17;Amarelo;Baixo
35000;Barragem 01 - Fazenda 3 Irmãos;Cuiabá;Nossa Senhora do Livramento;89657542;89657184;montante;17;Amarelo;Baixo
35000;Barragem 01 - Fazenda 3 Irmãos;Cuiabá;Várzea Grande;89657542;89657182;montante;17;Amarelo;Baixo
32398;Barragem 02 – Fazenda 3 Irmãos;Cuiabá;Nossa Senhora do Livramento;89657542;89657184;montante;17;Amarelo;Baixo
32398;Barragem 02 – Fazenda 3 Irmãos;Cuiabá;Várzea Grande;89657542;89657182;montante;17;Amarelo;Baixo
32421;Barragem 03 – Fazenda 3 Irmãos;Cuiabá;Nossa Senhora do Livramento;89657542;89657184;montante;17;Amarelo;Médio
32421;Barragem 03 – Fazenda 3 Irmãos;Cuiabá;Várzea Grande;89657542;89657182;montante;17;Amarelo;Médio
34731;Barragem 2  Principal;Cuiabá;Nossa Senhora do Livramento;8965754;89657184;montante;17;Amarelo;Baixo
34731;Barragem 2  Principal;Cuiabá;Várzea Grande;8965754;89657182;montante;17;Amarelo;Baixo
36689;Barragem I - Fazenda Pouso da Garça;Cuiabá;Nossa Senhora do Livramento;89657542;89657184;montante;17;Amarelo;Baixo
36689;Barragem I - Fazenda Pouso da Garça;Cuiabá;Várzea Grande;89657542;89657182;montante;17;Amarelo;Baixo
36690;Barragem II - Fazenda Pouso da Garça;Cuiabá;Nossa Senhora do Livramento;89657542;89657184;montante;17;Amarelo;Baixo
36690;Barragem II - Fazenda Pouso da Garça;Cuiabá;Várzea Grande;89657542;89657182;montante;17;Amarelo;Baixo
36691;Barragem III - Fazenda Pouso da Garça;Cuiabá;Nossa Senhora do Livramento;89657542;89657184;montante;17;Amarelo;Baixo
36691;Barragem III - Fazenda Pouso da Garça;Cuiabá;Várzea Grande;89657542;89657182;montante;17;Amarelo;Baixo
26146;Barragem TB;Cuiabá;Nossa Senhora do Livramento;8965752;89657184;montante;20;Amarelo;Baixo
26146;Barragem TB;Cuiabá;Várzea Grande;8965752;89657182;montante;20;Amarelo;Baixo
31578;Barragem Taguá;Cuiabá;Nossa Senhora do Livramento;8965754;89657184;montante;17;Amarelo;Baixo
31578;Barragem Taguá;Cuiabá;Várzea Grande;8965754;89657182;montante;17;Amarelo;Baixo
33960;Barramento 1 - Mangaba Urbanismo LTDA;Cuiabá;Nossa Senhora do Livramento;8965754;89657184;montante;16;Amarelo;Baixo
33960;Barramento 1 - Mangaba Urbanismo LTDA;Cuiabá;Várzea Grande;8965754;89657182;montante;16;Amarelo;Baixo
36517;Barramento 2 (Montante);Cuiabá;Nossa Senhora do Livramento;8965754;89657184;montante;15;Amarelo;Baixo
36517;Barramento 2 (Montante);Cuiabá;Várzea Grande;8965754;89657182;montante;15;Amarelo;Baixo
33355;Barramento 2 - Mangaba Urbanismo LTDA;Cuiabá;Nossa Senhora do Livramento;8965754;89657184;montante;16;Amarelo;Baixo
33355;Barramento 2 - Mangaba Urbanismo LTDA;Cuiabá;Várzea Grande;8965754;89657182;montante;16;Amarelo;Baixo
36516;Barramento 3;Cuiabá;Nossa Senhora do Livramento;8965754;89657184;montante;16;Amarelo;Baixo
36516;Barramento 3;Cuiabá;Várzea Grande;8965754;89657182;montante;16;Amarelo;Baixo
35136;Barramento 4;Cuiabá;Nossa Senhora do Livramento;8965754;89657184;montante;15;Amarelo;Baixo
35136;Barramento 4;Cuiabá;Várzea Grande;8965754;89657182;montante;15;Amarelo;Baixo
35182;Barramento 5;Cuiabá;Nossa Senhora do Livramento;89657542;89657184;montante;17;Amarelo;Baixo
35182;Barramento 5;Cuiabá;Várzea Grande;89657542;89657182;montante;17;Amarelo;Baixo
35181;Barramento 6;Cuiabá;Nossa Senhora do Livramento;89657542;89657184;montante;17;Amarelo;Baixo
35181;Barramento 6;Cuiabá;Várzea Grande;89657542;89657182;montante;17;Amarelo;Baixo
35180;Barramento 7;Cuiabá;Nossa Senhora do Livramento;89657542;89657184;montante;17;Amarelo;Baixo
35180;Barramento 7;Cuiabá;Várzea Grande;89657542;89657182;montante;17;Amarelo;Baixo
35027;Barramento ? Fazenda Jardim;Cuiabá;Nossa Senhora do Livramento;896576;89657184;montante;17;Amarelo;Baixo
35027;Barramento ? Fazenda Jardim;Cuiabá;Várzea Grande;896576;89657182;montante;17;Amarelo;Baixo
20754;Fazenda 3 irmãos;Cuiabá;Nossa Senhora do Livramento;89657542;89657184;montante;15;Amarelo;Baixo
20754;Fazenda 3 irmãos;Cuiabá;Várzea Grande;89657542;89657182;montante;15;Amarelo;Baixo
26534;Fazenda KM;Cuiabá;Nossa Senhora do Livramento;8965768;89657184;montante;19;Amarelo;Baixo
26534;Fazenda KM;Cuiabá;Várzea Grande;8965768;89657182;montante;19;Amarelo;Baixo
27954;Lago Recreativo Cuiabá;Cuiabá;Nossa Senhora do Livramento;89657544;89657184;montante;16;Amarelo;Alto
27954;Lago Recreativo Cuiabá;Cuiabá;Várzea Grande;89657544;89657182;montante;16;Amarelo;Alto
31620;Loteamento Brisas do Campo;Cuiabá;Nossa Senhora do Livramento;8965754;89657184;montante;16;Amarelo;Baixo
31620;Loteamento Brisas do Campo;Cuiabá;Várzea Grande;8965754;89657182;montante;16;Amarelo;Baixo
32445;Mangaba e Aterrado;Cuiabá;Nossa Senhora do Livramento;8965754;89657184;montante;16;Amarelo;Baixo
32445;Mangaba e Aterrado;Cuiabá;Várzea Grande;8965754;89657182;montante;16;Amarelo;Baixo
32261;Represa da Estrada;Cuiabá;Nossa Senhora do Livramento;89657542;89657184;montante;17;Amarelo;Médio
32261;Represa da Estrada;Cuiabá;Várzea Grande;89657542;89657182;montante;17;Amarelo;Médio
31954;SS RANCH;Cuiabá;Nossa Senhora do Livramento;89657544;89657184;montante;16;Amarelo;Médio
31954;SS RANCH;Cuiabá;Várzea Grande;89657544;89657182;montante;16;Amarelo;Médio
37413;Barragem Adelcir Grigoletto;Cláudia;Marcelândia;4268;42678;montante;8;Verde;Baixo
26131;BARRAGEM JVR;Cuiabá;Nossa Senhora do Livramento;8965752;89657184;montante;20;Amarelo;Alto
26131;BARRAGEM JVR;Cuiabá;Várzea Grande;8965752;89657182;montante;20;Amarelo;Alto
26138;Barragem Serrinha;Cuiabá;Nossa Senhora do Livramento;896572;89657184;montante;23;Amarelo;Baixo
26138;Barragem Serrinha;Cuiabá;Várzea Grande;896572;89657182;montante;23;Amarelo;Baixo
36555;Barragem I ? Fazenda Machado I;Denise;Barra do Bugres;899946;8999194;montante;11;Verde;Baixo
30902;Barramento 4 - Fazenda Guanabara – Gleba A;Denise;Barra do Bugres;899944;8999194;montante;11;Verde;Baixo
30947;Barramento 8 - Fazenda Guanabara – Gleba A;Denise;Barra do Bugres;8999444;8999194;montante;10;Verde;Não Classificado
36622;Barramento I ? Fazenda Froes;Denise;Arenápolis;8999492;8999492;mesmo trecho;13;Verde;Baixo
36622;Barramento I ? Fazenda Froes;Denise;Barra do Bugres;8999492;8999194;montante;13;Verde;Baixo
36642;Barramento III ? Fazenda Froes;Denise;Arenápolis;8999492;8999492;mesmo trecho;11;Verde;Baixo
36642;Barramento III ? Fazenda Froes;Denise;Barra do Bugres;8999492;8999194;montante;11;Verde;Baixo
26670;Buriti;Denise;Barra do Bugres;8999424;8999194;montante;9;Verde;Baixo
36624;Fazenda Froes? Barramento 2;Denise;Barra do Bugres;89994922;8999194;montante;13;Verde;Baixo
31556;Fazenda Selva de Pedra;Denise;Barra do Bugres;8999472;8999194;montante;11;Verde;Baixo
27780;Palmital Grande;Denise;Barra do Bugres;899946;8999194;montante;11;Verde;Baixo
34184;CGH Agromar - BARRAMENTO 1;Diamantino;Juara;44694;4463178;montante;7;Verde;Baixo
34184;CGH Agromar - BARRAMENTO 1;Diamantino;Novo Horizonte do Norte;44694;44631784;montante;7;Verde;Baixo
34184;CGH Agromar - BARRAMENTO 1;Diamantino;Porto dos Gaúchos;44694;4463354;montante;7;Verde;Baixo
34184;CGH Agromar - BARRAMENTO 1;Diamantino;São José do Rio Claro;44694;446916;montante;7;Verde;Baixo
20619;PCH Alto Paraguai (Pedro Pedrossian) - Alto Paraguai;Diamantino;Barra do Bugres;899992;8999194;montante;9;Verde;Baixo
35197;Barramento III - Fazenda Cruzeiro ? Montante II;General Carneiro;Novo São Joaquim;687382;6873132;montante;8;Verde;Baixo
35195;Fazenda Cruzeiro I - Barramento (principal);General Carneiro;Novo São Joaquim;687382;6873132;montante;8;Verde;Baixo
35196;Fazenda Cruzeiro I - Barramento II - Montante I;General Carneiro;Novo São Joaquim;687382;6873132;montante;8;Verde;Baixo
23769;Massa d'Água #227046;General Carneiro;Pontal do Araguaia;698298;698132;montante;7;Verde;Não Classificado
22263;Massa d'Água #70232;General Carneiro;Pontal do Araguaia;698298;698132;montante;7;Verde;Não Classificado
22397;T.I Sangradouro;General Carneiro;Novo São Joaquim;687472;6873132;montante;7;Verde;Não Classificado
4679;PCH Braço Norte - Braço Norte;Guarantã do Norte;Alta Floresta;44464;44452872;montante;8;Verde;Baixo
4679;PCH Braço Norte - Braço Norte;Guarantã do Norte;Carlinda;44464;44457212;montante;8;Verde;Baixo
4679;PCH Braço Norte - Braço Norte;Guarantã do Norte;Terra Nova do Norte;44464;444638;montante;8;Verde;Baixo
4843;PCH Braço Norte II - Barragem da Usina Braço Norte II;Guarantã do Norte;Alta Floresta;44464;44452872;montante;7;Verde;Médio
4843;PCH Braço Norte II - Barragem da Usina Braço Norte II;Guarantã do Norte;Carlinda;44464;44457212;montante;7;Verde;Médio
4843;PCH Braço Norte II - Barragem da Usina Braço Norte II;Guarantã do Norte;Terra Nova do Norte;44464;444638;montante;7;Verde;Médio
35614;PCH Braço Sul - Braço Sul;Guarantã do Norte;Alta Floresta;444644;44452872;montante;6;Verde;Baixo
35614;PCH Braço Sul - Braço Sul;Guarantã do Norte;Carlinda;444644;44457212;montante;6;Verde;Baixo
35614;PCH Braço Sul - Braço Sul;Guarantã do Norte;Terra Nova do Norte;444644;444638;montante;6;Verde;Baixo
