area_calc_ha;area_hectare_declarada;capacidade;cd_sipra;data_de_criacao;data_obtencao;descricao_fase;fase;forma_obtencao;gid;municipio;nome_projeto;num_familias;sr
10200.7702;10611.0000;331;MT0278000;02/04/2001;25/09/1998;;3;Desapropriação;2073;MIRASSOL D'OESTE;PA ROSELI NUNES;331;
1215.6067;1182.1502;53;MT0168000;30/12/1996;18/10/1996;;6;Compra e Venda;18073;MIRASSOL D'OESTE;PA SANTA HELENA II;53;
4294.5376;4522.3600;160;MT0857000;23/05/2012;18/12/2008;;3;Desapropriação;9864;MIRASSOL D'OESTE;PA SILVIO RODRIGUES;158;
10613.9630;10606.8355;127;MT0607000;09/09/2002;31/08/2001;;3;Desapropriação;9416;RIBEIRAO CASCALHEIRA;PA GUERREIRO;168;
31988.5831;40027.3530;321;MT0827000;21/11/2007;31/08/2001;;3;Desapropriação;12814;NOVA BANDEIRANTES;PA JAPURANOMANN;284;
7414.9994;7423.4946;107;MT0065000;10/01/1995;01/04/1988;;3;Desapropriação;18098;NOVA BRASILANDIA;PA FICA FACA;79;
2416.0684;2044.4909;50;MT0044000;17/09/1987;26/09/1986;;6;Desapropriação;17999;NOVA CANAA DO NORTE;PA CRUZEIRO DO SUL;48;
1772.2480;1760.7004;24;MT0479000;04/10/2001;23/08/1984;;3;Arrecadação;18029;NOVA MUTUM;PA MARIA DE OLIVEIRA I;24;
828.1941;823.3437;15;MT0942000;08/07/2015;30/12/2010;;3;Arrecadação;14260;NOVA MUTUM;PA RIO VERDE;13;
3024.1452;2550.0000;60;MT0117000;19/12/1995;05/12/1988;;3;Arrecadação;18000;NOVA CANAA DO NORTE;PA MONTE DAS OLIVEIRAS;58;
2486.0189;2482.0222;41;MT0037000;14/08/1987;29/01/1987;;3;Desapropriação;2103;NOVA NAZARE;PA MARAGATOS;40;
5488.4291;4420.0000;105;MT0116000;19/12/1995;05/12/1984;;5;Arrecadação;18002;NOVA CANAA DO NORTE;PA OURO BRANCO;96;
2437.0234;2541.0000;71;MT0223000;29/04/1998;10/12/1997;;3;Desapropriação;11519;NOVA OLIMPIA;PA RIOZINHO;65;
1999.6756;2000.0000;96;MT0947000;18/04/2018;22/03/2017;;3;Desafetação;17946;NOVO MUNDO;PDS NOVA CONQUISTA II;92;
2748.4039;2700.0000;45;MT0134000;29/12/1995;05/12/1984;;5;Arrecadação;18009;NOVA CANAA DO NORTE;PA TAPAYUNA;42;
844.5231;844.5937;32;MT0295000;23/08/2000;02/01/1985;;5;Arrecadação;17967;NOVA CANAA DO NORTE;PA UNIÃO FLOR DA SERRA;32;
1644.7669;2044.4909;34;MT0086000;27/11/1995;16/01/1979;;7;Arrecadação;2060;NOVA GUARITA;PA CRISTO REI;33;
2430.0004;2372.9662;65;MT0796000;03/08/2006;03/08/2006;;3;Desapropriação;13398;NOVA GUARITA;PA RAIMUNDO VIEIRA;64;
1659.6547;1656.8751;34;MT0114000;14/12/1995;02/01/1995;;5;Arrecadação;17995;NOVA GUARITA;PA SERRA NEGRA;29;
2353.2426;2300.0000;52;MT0227000;27/05/1998;19/12/1997;;3;Desapropriação;11702;NOVA OLIMPIA;PA VALE DO SOL;48;
1980.0774;1287.1731;24;MT0366000;01/09/2000;01/09/2000;;3;Arrecadação;4401;NOVA GUARITA;PA VALE DA ESPERANÇA;37;
2852.0454;2723.0000;34;MT0039000;14/08/1987;26/09/1986;;6;Desapropriação;17987;NOVA XAVANTINA;PA ILHA DO COCO;29;
433.3286;436.8000;18;MT0768000;17/11/2005;17/11/2005;;3;Desapropriação;13109;NOVA MARINGA;PA SANTO ANTONIO I;7;
490.2496;470.5134;9;MT0478000;04/10/2001;04/10/2001;;3;Arrecadação;18024;NOVA MUTUM;PA MARIA DE OLIVEIRA;9;
3077.8939;3078.1469;107;MT0258000;13/10/1999;13/08/1998;;3;Desapropriação;18058;NOVO HORIZONTE DO NORTE;PA JULIETA II;105;
2349.5277;2313.9734;29;MT0041000;14/08/1987;25/09/1986;;7;Desapropriação;1973;NOVA XAVANTINA;PA MELLO;29;
3522.3493;3522.7812;75;MT0777000;18/11/2005;18/11/2005;;6;Arrecadação;17978;NOVO MUNDO;PA ARAUNA;62;
3701.6258;3701.9373;74;MT0494000;04/12/2001;04/12/2001;;4;Arrecadação;4059;NOVO MUNDO;PA BARRA NORTE;70;
7052.5950;8549.7500;130;MT0118000;29/12/1995;03/03/1980;;3;Arrecadação;4625;NOVO MUNDO;PA BELA VISTA;101;
9279.8301;14907.7990;260;MT0194000;06/11/1997;07/02/1997;;3;Desapropriação;12891;PARANATINGA;PA BOA VISTA;246;
9287.3050;10726.0197;190;MT0945000;21/09/2017;23/11/1999;;3;Desapropriação;13399;PARANATINGA;PDS RIO JATOBA;155;
3003.3046;5063.1802;273;MT0361000;20/07/2000;06/01/1999;;5;Desapropriação;1795;POCONE;PA AGROANA/GIRAU;183;
979.7575;1022.3192;50;MT0219000;12/02/1998;01/10/1997;;3;Desapropriação;18037;POCONE;PA CAMPO LIMPO;45;
1837.3259;2063.5250;62;MT0728000;03/03/2005;18/07/2003;;3;Desapropriação;2206;PEDRA PRETA;PA 26 DE JANEIRO;60;
1279.1183;1263.3318;42;MT0750000;22/12/2008;23/12/2003;;3;Desapropriação;12574;PEDRA PRETA;PA 28 DE DEZEMBRO;39;
1336.3795;2929.0000;108;MT0364000;29/08/2000;19/08/2002;;3;Desapropriação;197;PEDRA PRETA;PA WILSON MEDEIROS;105;
15780.5573;15430.2812;300;MT0191000;06/11/1997;16/01/1997;;3;Desapropriação;18021;SAO JOSE DO RIO CLARO;PA CAMPINAS;281;
4000.9991;3344.2657;87;MT0814000;09/08/2007;09/08/2007;;3;Desapropriação;5064;PEDRA PRETA;PA MONTE AZUL;88;
3276.6570;3282.2039;100;MT0704000;29/03/2004;26/03/2002;;3;Desapropriação;4036;PEDRA PRETA;PA VALE DO PRATA;96;
