codigo_ibge;municipio;populacao;ano_referencia;fonte;area_km2;densidade_hab_km2
5106778;Porto Alegre do Norte;12127;2022;censo_2022;;
5106828;Porto Esperidião;10204;2022;censo_2022;;
5106851;Porto Estrela;3224;2022;censo_2022;;
5106802;Porto dos Gaúchos;5593;2022;censo_2022;;
5107008;Poxoréu;23283;2022;censo_2022;;
5107040;Primavera do Leste;85146;2022;censo_2022;;
5107065;Querência;26769;2022;censo_2022;;
5107156;Reserva do Cabaçal;2122;2022;censo_2022;;
5107180;Ribeirão Cascalheira;10089;2022;censo_2022;;
5107198;Ribeirãozinho;2593;2022;censo_2022;;
5107206;Rio Branco;4535;2022;censo_2022;;
5107578;Rondolândia;3505;2022;censo_2022;;
5107602;Rondonópolis;244911;2022;censo_2022;;
5107701;Rosário Oeste;15453;2022;censo_2022;;
5107750;Salto do Céu;3679;2022;censo_2022;;
5107248;Santa Carmem;5374;2022;censo_2022;;
5107743;Santa Cruz do Xingu;2661;2022;censo_2022;;
5107768;Santa Rita do Trivelato;3276;2022;censo_2022;;
5107776;Santa Terezinha;7596;2022;censo_2022;;
5107263;Santo Afonso;2519;2022;censo_2022;;
5107800;Santo Antônio de Leverger;15246;2022;censo_2022;;
5107792;Santo Antônio do Leste;4099;2022;censo_2022;;
5107875;Sapezal;28944;2022;censo_2022;;
5107883;Serra Nova Dourada;1800;2022;censo_2022;;
5107909;Sinop;196312;2022;censo_2022;;
5107925;Sorriso;110635;2022;censo_2022;;
5107859;São Félix do Araguaia;13621;2022;censo_2022;;
5107297;São José do Povo;2875;2022;censo_2022;;
5107305;São José do Rio Claro;14911;2022;censo_2022;;
5107354;São José do Xingu;5964;2022;censo_2022;;
5107107;São José dos Quatro Marcos;17849;2022;censo_2022;;
5107404;São Pedro da Cipa;4191;2022;censo_2022;;
5107941;Tabaporã;9818;2022;censo_2022;;
5107958;Tangará da Serra;106434;2022;censo_2022;;
5108006;Tapurah;14370;2022;censo_2022;;
5108055;Terra Nova do Norte;10616;2022;censo_2022;;
5108105;Tesouro;3025;2022;censo_2022;;
5108204;Torixoréu;4164;2022;censo_2022;;
5108303;União do Sul;3838;2022;censo_2022;;
5108352;Vale de São Domingos;2904;2022;censo_2022;;
5108501;Vera;12800;2022;censo_2022;;
5105507;Vila Bela da Santíssima Trindade;16774;2022;censo_2022;;
5108600;Vila Rica;19888;2022;censo_2022;;
5108402;Várzea Grande;300078;2022;censo_2022;;
5100201;Água Boa;29219;2022;censo_2022;;
