id_snisb;nome;municipio_sede;regiao_saude;perfil_sanitario;idap;nivel;completude;confiabilidade;pontos_a;pontos_b;pontos_c;pontos_d;alertavel;area_estimada_km2;populacao_estimada;metodo_populacao;chuva_24h_mm;chuva_72h_mm;saturacao_antecedente;nivel_alerta_hidro;aproximacao_espacial;municipios_potencialmente_afetados;arquivo_alerta;resumo;instante
27626;Barragem - Valdenir;Nossa Senhora do Livramento;Baixada Cuiabana;rejeito;17;Verde;0,500;parcial;5;3;8;1;não;0,02;3;area_x_densidade;0.7;0.7;0,3070;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/verde_27626.txt;Barragem - Valdenir (Nossa Senhora do Livramento) — IDAP 17/100 — Verde: normalidade — completude 50% (parcial);2026-07-30T09:58:09-04:00
27937;BRAVO 1;Várzea Grande;Baixada Cuiabana;rejeito;16;Verde;0,530;parcial;5;1;8;2;não;0,24;37;area_x_densidade;0.7;0.7;0,2710;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/verde_27937.txt;BRAVO 1 (Várzea Grande) — IDAP 16/100 — Verde: normalidade — completude 53% (parcial);2026-07-30T09:58:09-04:00
20617;PCH Casca III - Casca III;Chapada dos Guimarães;Baixada Cuiabana;rejeito;15;Amarelo;0,530;parcial;4;1;6;4;não;0,31;22;area_x_densidade;0.1;0.1;0,0000;laranja;municipio_sede;Chapada dos Guimarães | Cuiabá | Jangada | Nossa Senhora do Livramento | Rosário Oeste | Santo Antônio de Leverger | Várzea Grande;alertas/piloto/amarelo_20617.txt;PCH Casca III - Casca III (Chapada dos Guimarães) — IDAP 15/100 — Amarelo: atenção (elevado de Verde por regra determinística) — completude 53% (parcial);2026-07-30T09:58:09-04:00
26265;BRAVO II;Várzea Grande;Baixada Cuiabana;rejeito;14;Verde;0,500;parcial;5;1;7;1;não;0,0;;area_x_densidade;0.7;0.7;0,2710;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/verde_26265.txt;BRAVO II (Várzea Grande) — IDAP 14/100 — Verde: normalidade — completude 50% (parcial);2026-07-30T09:58:09-04:00
31525;BRAVO IV;Várzea Grande;Baixada Cuiabana;rejeito;14;Verde;0,500;parcial;5;1;7;1;não;0,0;;area_x_densidade;0.7;0.7;0,2710;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/verde_31525.txt;BRAVO IV (Várzea Grande) — IDAP 14/100 — Verde: normalidade — completude 50% (parcial);2026-07-30T09:58:09-04:00
31578;Barragem Taguá;Cuiabá;Baixada Cuiabana;rejeito;14;Amarelo;0,500;parcial;5;3;5;1;não;0,0;;area_x_densidade;0.7;0.7;0,2610;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_31578.txt;Barragem Taguá (Cuiabá) — IDAP 14/100 — Amarelo: atenção (elevado de Verde por regra determinística) — completude 50% (parcial);2026-07-30T09:58:09-04:00
32261;Represa da Estrada;Cuiabá;Baixada Cuiabana;rejeito;15;Amarelo;0,500;parcial;5;3;6;1;não;0,03;4;area_x_densidade;0.7;0.7;0,2610;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_32261.txt;Represa da Estrada (Cuiabá) — IDAP 15/100 — Amarelo: atenção (elevado de Verde por regra determinística) — completude 50% (parcial);2026-07-30T09:58:09-04:00
32398;Barragem 02 – Fazenda 3 Irmãos;Cuiabá;Baixada Cuiabana;rejeito;14;Amarelo;0,500;parcial;5;3;5;1;não;0,0;;area_x_densidade;0.7;0.7;0,2610;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_32398.txt;Barragem 02 – Fazenda 3 Irmãos (Cuiabá) — IDAP 14/100 — Amarelo: atenção (elevado de Verde por regra determinística) — completude 50% (parcial);2026-07-30T09:58:09-04:00
32421;Barragem 03 – Fazenda 3 Irmãos;Cuiabá;Baixada Cuiabana;rejeito;15;Amarelo;0,500;parcial;5;3;6;1;não;0,01;2;area_x_densidade;0.7;0.7;0,2610;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_32421.txt;Barragem 03 – Fazenda 3 Irmãos (Cuiabá) — IDAP 15/100 — Amarelo: atenção (elevado de Verde por regra determinística) — completude 50% (parcial);2026-07-30T09:58:09-04:00
34731;Barragem 2  Principal;Cuiabá;Baixada Cuiabana;rejeito;15;Amarelo;0,500;parcial;5;3;6;1;não;0,03;5;area_x_densidade;0.7;0.7;0,2610;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_34731.txt;Barragem 2  Principal (Cuiabá) — IDAP 15/100 — Amarelo: atenção (elevado de Verde por regra determinística) — completude 50% (parcial);2026-07-30T09:58:09-04:00
